Date,Open,High,Low,Close,Volume
5/2/2013,16.85,16.95,16.55,16.7,170990
5/3/2013,16.7,16.85,16.5,16.55,156850
5/7/2013,16.8,17.15,16.6,17.15,290280
5/8/2013,17.25,17.25,16.9,17.15,164510
5/9/2013,17.05,17.15,17.05,17.15,91940
5/10/2013,17.15,17.2,17,17.2,113940
5/13/2013,17.15,17.5,17.15,17.5,249100
5/14/2013,17.5,17.7,17.5,17.5,193910
5/15/2013,17.65,17.65,17.2,17.35,249410
5/16/2013,17.25,17.4,17.15,17.25,107420
5/17/2013,17.25,17.5,17.2,17.45,245420
5/20/2013,17.55,17.65,17.35,17.45,144690
5/21/2013,17.5,17.55,17.2,17.3,243050
5/22/2013,17.4,17.4,17.1,17.1,156650
5/23/2013,17.1,17.15,16.5,16.9,419150
5/27/2013,16.75,16.85,16.65,16.7,163960
5/28/2013,16.55,17.15,16.55,17.05,134850
5/29/2013,17.05,17.15,16.7,16.9,215910
5/30/2013,16.7,16.95,16.7,16.7,130130
5/31/2013,16.65,16.9,16.35,16.9,429000
6/3/2013,16.85,17.2,16.65,16.7,202550
6/4/2013,16.85,17.1,16.6,17.1,216300
6/5/2013,17.15,17.15,16.6,16.75,231300
6/6/2013,16.5,16.6,16.3,16.5,330720
6/7/2013,16.2,16.35,15.95,16,563300
6/10/2013,16.15,16.35,16.05,16.1,253310
6/11/2013,16,16,15,15.05,625780
6/12/2013,14.6,15.45,14.3,14.7,542780
6/13/2013,14.2,14.55,13.8,14.5,770090
6/14/2013,15,15.2,14.8,15.1,516020
6/17/2013,15.15,15.4,14.9,15.35,190890
6/18/2013,15.4,15.85,15.2,15.2,494380
6/19/2013,15.25,15.45,14.8,14.95,293630
6/20/2013,14.4,14.7,14.25,14.4,449330
6/21/2013,14,14.15,13.4,13.8,675270
6/24/2013,13.5,13.8,13,13,423490
6/25/2013,13.1,13.9,12.7,13.9,708010
6/26/2013,14.1,14.4,13.8,14.3,580300
6/27/2013,14.7,15.35,14.35,14.9,652340
6/28/2013,15.4,15.8,15.2,15.75,742050
7/2/2013,15.5,15.65,15.25,15.5,488100
7/3/2013,15,16,15,16,272440
7/4/2013,15.45,15.8,15.4,15.75,283770
7/5/2013,15.8,15.9,15.5,15.65,248430
7/8/2013,15.45,15.5,14.9,14.9,266380
7/9/2013,14.75,14.8,14.3,14.3,469470
7/10/2013,14.3,14.55,13.95,14.5,324110
7/11/2013,14.8,15.3,14.7,15.3,418450
7/12/2013,15.3,15.4,15.05,15.3,209730
7/15/2013,15.3,15.45,14.9,15,239950
7/16/2013,14.9,15.4,14.85,15.4,206510
7/17/2013,15.5,15.7,15.4,15.65,276540
7/18/2013,15.7,16.3,15.6,16.25,472780
7/19/2013,16.3,16.3,16,16,255260
7/23/2013,16.2,16.65,16.05,16.5,562080
7/24/2013,16.5,16.5,16.1,16.25,218970
7/25/2013,16.1,16.2,15.65,15.65,426370
7/26/2013,15.6,15.9,15.2,15.55,381510
7/29/2013,15,15.1,14.8,14.85,585910
7/30/2013,14.95,15.1,14.5,14.5,448000
7/31/2013,14.4,14.65,14.2,14.65,305730
8/1/2013,14.85,14.85,14.5,14.65,146830
8/2/2013,14.35,14.6,14.25,14.35,253810
8/5/2013,14.35,14.45,14.25,14.25,195550
8/6/2013,14.15,14.5,14.05,14.4,285990
8/7/2013,14.4,14.4,14.2,14.35,172840
8/8/2013,14.5,14.9,14.45,14.9,395640
8/9/2013,14.9,14.9,14.6,14.65,135640
8/13/2013,14.65,14.9,14.65,14.85,173020
8/14/2013,14.75,14.85,14.45,14.6,218850
8/15/2013,14.5,14.55,14.3,14.5,224970
8/16/2013,14.35,14.4,14.2,14.2,387960
8/19/2013,14.1,14.1,13.55,13.65,481510
8/20/2013,13.2,13.25,12.8,13,1017140
8/21/2013,12.8,13.05,12.75,12.75,773140
8/22/2013,12.5,13.3,12.5,13.3,590200
8/23/2013,13.5,13.5,12.75,12.75,421170
8/26/2013,13,13.05,12.65,12.65,293140
8/27/2013,12.4,12.6,12.2,12.45,275860
8/28/2013,12.05,12.4,12,12,730500
8/29/2013,12.1,12.7,12,12.6,411740
8/30/2013,12.7,12.9,12.6,12.9,476020
9/2/2013,13.1,13.3,12.95,13.25,325580
9/3/2013,13.25,13.25,12.95,13,288830
9/4/2013,13,13,12.6,12.7,292700
9/5/2013,12.9,13,12.65,12.95,246690
9/6/2013,12.9,13.15,12.65,13.15,195320
9/9/2013,13.25,13.5,13.15,13.4,307840
9/10/2013,13.65,13.7,13.05,13.3,411590
9/11/2013,13.3,13.6,13.2,13.5,185700
9/12/2013,13.6,13.75,13.5,13.6,392950
9/13/2013,13.5,13.75,13.45,13.7,312570
9/16/2013,13.9,14.5,13.9,14.5,422740
9/17/2013,14.35,14.6,14.3,14.5,348690
9/18/2013,14.5,14.6,14.1,14.15,203400
9/19/2013,14.7,14.7,14.3,14.5,807950
9/20/2013,14.4,14.5,14.35,14.4,230240
9/23/2013,14.3,14.3,13.9,13.9,417300
9/24/2013,13.75,13.85,13.2,13.25,739110
9/25/2013,13.3,13.35,12.8,13,926270
9/26/2013,12.9,13.2,12.85,12.9,650710
9/27/2013,13.05,13.1,12.9,12.95,229540
9/30/2013,12.8,12.85,12.6,12.6,406970
10/1/2013,12.9,13.2,12.65,13.1,494400
10/2/2013,13.15,13.25,12.95,13.05,380070
10/3/2013,13.15,13.45,13.15,13.4,580760
10/4/2013,13.35,13.5,13.3,13.5,354210
10/7/2013,13.55,13.6,13.3,13.5,392230
10/8/2013,13.5,13.8,13.4,13.8,586520
10/9/2013,13.75,14,13.65,14,489900
10/10/2013,14,14.4,13.9,14.25,597000
10/11/2013,14.4,14.45,14.2,14.35,717760
10/14/2013,14.25,14.25,14.1,14.15,287760
10/15/2013,14.3,14.4,14.1,14.15,309990
10/16/2013,14.05,14.1,13.9,13.95,319180
10/17/2013,14,14.15,13.7,13.85,374080
10/18/2013,13.85,14.1,13.85,14.05,249490
10/21/2013,14.05,14.1,13.8,13.85,298510
10/22/2013,13.8,13.9,13.7,13.8,188240
10/24/2013,13.7,14.05,13.7,14,167890
10/25/2013,13.95,14,13.8,13.85,113120
10/28/2013,13.9,13.9,13.5,13.6,277040
10/29/2013,13.6,13.65,13.55,13.65,346910
10/30/2013,13.7,13.7,13.2,13.55,476870
10/31/2013,13.3,13.45,13.3,13.4,368020
11/1/2013,13.3,13.3,13.2,13.25,178510
11/4/2013,13.1,13.15,12.85,12.9,226880
11/5/2013,13,13.3,12.9,13.25,388600
11/6/2013,13.3,13.3,13.1,13.3,261840
11/7/2013,13.25,13.3,12.9,13,529840
11/8/2013,12.9,13,12.8,12.9,263210
11/11/2013,12.7,13.05,12.7,12.95,203410
11/12/2013,13.1,13.1,12.9,12.95,166190
11/13/2013,12.8,12.95,12.8,12.9,169310
11/14/2013,12.9,13.1,12.9,13,211000
11/15/2013,13.05,13.05,12.8,12.85,296130
11/18/2013,12.95,12.95,12.85,12.9,96890
11/19/2013,12.85,12.95,12.8,12.9,280860
11/20/2013,12.95,13.05,12.85,12.95,326310
11/21/2013,12.85,12.9,12.8,12.9,152480
11/22/2013,12.85,12.95,12.7,12.9,237190
11/25/2013,12.75,12.9,12.75,12.85,262410
11/26/2013,12.8,12.9,12.8,12.85,313510
11/27/2013,12.85,12.9,12.8,12.9,75190
11/28/2013,12.9,13.15,12.85,13.05,268440
11/29/2013,13,13.15,13,13.15,169730
12/2/2013,13.05,13.1,12.9,12.95,140560
12/3/2013,12.9,13.2,12.85,13.1,309380
12/4/2013,12.95,13.1,12.95,12.95,159810
12/6/2013,12.95,13,12.85,12.95,148410
12/9/2013,13.05,13.05,12.85,12.85,100270
12/11/2013,12.8,13,12.8,12.85,81100
12/12/2013,12.8,12.95,12.8,12.85,87240
12/13/2013,12.85,12.85,12.5,12.55,304060
12/16/2013,12.5,12.55,12.4,12.4,105160
12/17/2013,12.4,12.55,12.4,12.4,205020
12/18/2013,12.45,12.55,12.4,12.55,124660
12/19/2013,12.55,12.6,12.4,12.4,143470
12/20/2013,12.4,12.5,12.4,12.45,115460
12/23/2013,12.45,12.45,12.3,12.4,155350
12/24/2013,12.25,12.4,12.2,12.4,66890
12/25/2013,12.4,12.4,12.35,12.4,28220
12/26/2013,12.35,12.4,11.9,11.95,222930
12/27/2013,11.85,11.9,11.6,11.75,306250
1/2/2014,11.6,11.65,10.9,10.9,350190
1/3/2014,10.8,11.1,10.5,10.85,303120
1/6/2014,11,11.9,10.85,11.9,400990
1/7/2014,11.75,11.95,11.65,11.75,317060
1/8/2014,11.75,11.75,11.35,11.45,273080
1/9/2014,11.7,11.9,11.6,11.75,258350
1/10/2014,11.6,11.75,11.45,11.7,163810
1/13/2014,11.6,12.2,11.45,12.15,307850
1/14/2014,12.1,12.3,12,12.15,240700
1/15/2014,12.2,12.2,11.8,12,290200
1/16/2014,12,12.25,12,12.15,141380
1/17/2014,12.15,12.2,11.95,12,105730
1/20/2014,12.05,12.2,12,12.1,74480
1/21/2014,12.1,12.25,12,12,124030
1/22/2014,11.9,12.15,11.9,12,140240
1/23/2014,12,12.15,11.95,12.05,125360
1/24/2014,12.1,12.2,11.9,11.9,145940
1/27/2014,11.75,11.95,11.6,11.85,132240
1/28/2014,11.8,11.85,11.55,11.6,160430
1/29/2014,11.65,11.7,11.55,11.7,110650
1/30/2014,11.7,11.8,11.5,11.7,99080
1/31/2014,11.8,11.8,11.7,11.8,76020
2/3/2014,11.9,12.05,11.85,11.85,186610
2/4/2014,11.8,11.85,11.7,11.8,78350
2/5/2014,11.95,12,11.8,11.9,93800
2/6/2014,12,12.05,11.85,12.05,120470
2/7/2014,12.1,12.1,11.7,11.85,227320
2/10/2014,11.9,11.95,11.8,11.8,146180
2/11/2014,11.9,11.95,11.8,11.95,80200
2/12/2014,11.9,12.1,11.9,12.1,266360
2/13/2014,12.1,12.25,12.05,12.2,156060
2/17/2014,12.3,12.8,12.25,12.75,391420
2/18/2014,12.75,12.85,12.6,12.75,504560
2/19/2014,12.85,13,12.75,12.9,292360
2/20/2014,12.75,12.75,12.4,12.5,200000
2/21/2014,12.45,12.55,12.25,12.45,86670
2/24/2014,12.35,12.4,12.25,12.35,63360
2/25/2014,12.45,12.45,12.25,12.3,152620
2/26/2014,12.3,12.7,12.25,12.6,190360
2/27/2014,12.7,12.75,12.6,12.75,73100
2/28/2014,12.8,12.8,12.65,12.8,123430
3/3/2014,12.8,12.95,12.7,12.8,164570
3/4/2014,12.9,12.95,12.85,12.85,140470
3/5/2014,12.9,13,12.75,12.9,147000
3/6/2014,12.85,12.9,12.7,12.8,113900
3/7/2014,12.8,12.8,12.7,12.8,114920
3/10/2014,12.75,12.85,12.65,12.8,122300
3/11/2014,12.9,12.9,12.7,12.9,123440
3/12/2014,12.9,12.9,12.7,12.85,162270
3/13/2014,13.1,13.35,13.05,13.3,506880
3/14/2014,13.2,13.35,13.15,13.3,285680
3/17/2014,13.3,13.3,13.1,13.3,152830
3/18/2014,13.3,13.35,13.15,13.2,101090
3/19/2014,13.25,13.45,13.2,13.35,266460
3/20/2014,13.25,13.4,13.1,13.4,188400
3/21/2014,13.4,13.5,13.35,13.5,292180
3/24/2014,13.55,13.55,13.35,13.5,207610
3/25/2014,13.3,13.3,12.95,13.05,271950
3/26/2014,13.1,13.2,13,13.1,112260
3/27/2014,13.1,13.2,13.1,13.15,131520
3/28/2014,13.15,13.4,13.1,13.25,233810
3/31/2014,13.35,13.4,13.1,13.3,229330
4/1/2014,13.3,13.4,13.25,13.4,142090
4/2/2014,13.4,13.4,13.25,13.35,159950
4/3/2014,13.35,13.4,13.25,13.35,105470
4/4/2014,13.35,13.35,13.25,13.3,156170
4/8/2014,13.25,13.35,13.05,13.1,183170
4/9/2014,13.15,13.2,13.1,13.2,102190
4/10/2014,13.2,13.25,13.1,13.25,172770
4/11/2014,13.15,13.3,13.15,13.25,100440
4/16/2014,13.25,13.35,13.2,13.35,135380
4/17/2014,13.35,13.35,13.2,13.2,133090
4/18/2014,13.25,13.25,13.15,13.2,75700
4/21/2014,13.25,13.3,13.15,13.2,86360
4/22/2014,13.2,13.2,13.05,13.2,214190
4/23/2014,13.2,13.9,13.2,13.9,1304890
4/24/2014,13.85,14.25,13.8,14.2,716290
4/25/2014,14.15,14.2,13.9,13.9,282420
4/28/2014,13.85,14.1,13.85,13.9,289270
4/29/2014,14,14.4,13.9,14.3,489490
4/30/2014,14.5,15,14.5,14.8,666815
5/2/2014,15.1,15.6,15.1,15.5,906190
5/6/2014,15.6,15.9,14.9,15,673467
5/7/2014,14.9,15.2,14.8,15.2,883901
5/8/2014,15.1,15.1,14.8,14.9,482470
5/9/2014,14.9,15.1,14.8,14.9,342838
5/12/2014,15,15.2,14.8,15.1,317117
5/14/2014,15.1,15.4,14.9,15.4,636976
5/15/2014,15.5,15.6,15.1,15.5,773908
5/16/2014,15.4,15.7,15.3,15.5,587713
5/19/2014,15.5,15.8,15.4,15.6,311326
5/20/2014,15.3,15.4,15,15.2,957903
5/21/2014,15.2,15.5,15.2,15.3,239429
5/22/2014,15.4,15.6,15.3,15.4,261625
5/23/2014,15,15.4,15,15.4,586867
5/26/2014,15.3,15.4,15.2,15.2,193643
5/27/2014,15.3,15.5,15.2,15.2,169139
5/28/2014,15.3,15.9,15.3,15.8,618655
5/29/2014,16,16.6,16,16.4,1037863
5/30/2014,16.6,17.1,16.4,16.6,1255747
6/2/2014,16.8,16.9,16.5,16.5,322830
6/3/2014,16.7,16.7,16.3,16.4,307233
6/4/2014,16.4,16.8,16.3,16.6,452470
6/5/2014,16.7,16.9,16.5,16.9,304888
6/6/2014,17.1,17.1,16.7,16.7,267643
6/9/2014,16.8,16.9,16.6,16.7,155527
6/10/2014,16.6,16.7,16.4,16.7,308200
6/11/2014,16.7,16.8,16.5,16.7,165979
6/12/2014,16.6,16.7,16.5,16.6,137083
6/13/2014,16.7,16.8,16.4,16.5,249792
6/16/2014,16.5,16.7,16.5,16.6,189429
6/17/2014,16.6,16.7,16.5,16.6,160361
6/18/2014,16.5,16.6,16,16.1,596936
6/19/2014,16,16.7,15.7,16.5,979049
6/20/2014,16.7,16.8,16.5,16.6,475622
6/23/2014,16.7,16.9,16.6,16.8,444294
6/24/2014,16.8,16.9,16.5,16.7,264690
6/25/2014,16.6,16.8,16.5,16.6,233975
6/26/2014,16.7,16.7,16.5,16.7,92131
6/27/2014,16.6,16.7,16.4,16.5,278199
6/30/2014,16.6,16.7,16.4,16.7,351206
7/2/2014,16.6,16.7,16.4,16.4,163212
7/3/2014,16.5,16.7,16.2,16.2,341571
7/4/2014,16.2,16.3,16.1,16.2,169051
7/7/2014,16.2,16.3,16,16.1,193025
7/8/2014,16.1,16.1,15.8,16,299631
7/9/2014,16.1,16.4,16,16.3,322160
7/10/2014,16.3,16.4,16.2,16.2,229339
7/14/2014,16.2,16.4,16.1,16.3,233521
7/15/2014,16.3,16.4,16.1,16.1,173101
7/16/2014,16.1,16.4,16,16.4,401508
7/17/2014,16.4,16.8,16.3,16.8,559092
7/18/2014,16.7,16.8,16.4,16.4,601246
7/21/2014,16.4,16.6,16.2,16.2,367020
7/22/2014,16.2,16.4,16,16,345158
7/23/2014,16.1,16.6,16.1,16.5,412033
7/24/2014,16.5,16.8,16.3,16.7,450392
7/25/2014,16.8,17.6,16.6,17.4,1690903
7/28/2014,17.7,18,17.5,17.6,879739
7/29/2014,17.7,17.9,17.1,17.2,590430
7/30/2014,17.1,17.4,16.6,16.9,606719
7/31/2014,16.8,17.3,16.7,17,369616
8/1/2014,16.8,17.2,16.8,17.2,231228
8/4/2014,17.4,17.8,17,17.6,444844
8/5/2014,17.6,18.2,17.6,18.1,905023
8/6/2014,18,18.3,17.8,18,512563
8/7/2014,18,18.1,17.8,17.8,201894
8/8/2014,17.6,18,17.6,18,183981
8/13/2014,18.2,18.9,18.1,18.8,739150
8/14/2014,18.8,19,18.3,18.4,598092
8/15/2014,18.4,18.6,18.3,18.3,258594
8/18/2014,18.4,18.5,17.9,18.1,451405
8/19/2014,18.2,18.3,18.1,18.1,246993
8/20/2014,18.1,18.3,18,18.2,295589
8/21/2014,18.2,18.6,18.2,18.3,420434
8/22/2014,18.4,18.5,18.2,18.5,146491
8/25/2014,18.6,19,18.5,18.8,485176
8/26/2014,18.9,19.1,18.8,18.9,369550
8/27/2014,19,19.3,19,19.3,420674
8/28/2014,19.4,19.6,19.2,19.5,399910
8/29/2014,19.4,19.5,19.2,19.5,215681
9/1/2014,19.7,19.7,19.3,19.4,204865
9/2/2014,19.5,19.7,19.4,19.5,241340
9/3/2014,19.7,19.8,19.6,19.7,170097
9/4/2014,19.7,19.8,19.5,19.5,207249
9/5/2014,19.6,19.6,19.2,19.4,220896
9/8/2014,19.3,19.3,18.9,18.9,299409
9/9/2014,18.9,19.1,18.3,18.6,382454
9/10/2014,18.5,18.6,18.2,18.3,489821
9/11/2014,17.9,18.5,17.8,18.3,1246137
9/12/2014,18.3,19,18.3,18.8,744377
9/15/2014,18.7,18.8,18.5,18.7,168095
9/16/2014,18.8,18.8,18.3,18.3,126633
9/17/2014,18.5,18.5,18.3,18.4,189789
9/18/2014,18.6,18.9,18.5,18.8,261110
9/19/2014,18.8,18.9,18.6,18.7,242378
9/22/2014,18.8,19.2,18.7,19,289465
9/23/2014,19.1,19.2,18.8,18.8,140456
9/24/2014,18.8,19,18.7,18.8,104761
9/25/2014,18.8,19,18.7,18.8,116781
9/26/2014,18.8,18.9,18.6,18.7,88709
9/29/2014,18.8,18.8,18.3,18.5,287723
9/30/2014,18.5,18.7,18.4,18.5,192567
10/1/2014,18.5,18.6,18.3,18.3,153647
10/2/2014,18.3,18.4,18.2,18.2,177970
10/3/2014,18.2,18.5,18.1,18.3,350680
10/6/2014,18.5,18.5,17.9,18,270066
10/7/2014,18,18.2,17.7,17.8,302684
10/8/2014,17.6,18.2,17.5,17.9,191461
10/9/2014,18.1,18.3,18.1,18.1,161228
10/10/2014,18,18.1,17.9,18,128927
10/13/2014,17.8,18.1,17.8,18,60244
10/14/2014,18,18.2,17.8,17.9,94592
10/15/2014,18.1,18.3,18,18.3,150555
10/16/2014,18.2,18.3,18,18.1,143279
10/17/2014,18,18.2,17.8,18,246936
10/20/2014,18.2,18.3,17.9,17.9,109213
10/21/2014,18,18.6,17.9,18.5,350622
10/22/2014,18.5,18.7,18.4,18.5,225120
10/24/2014,18.6,18.6,18.3,18.5,114258
10/27/2014,18.4,18.5,18.2,18.3,147774
10/28/2014,18.3,18.3,18.1,18.2,115710
10/29/2014,18.3,18.5,18.1,18.2,224593
10/30/2014,18.2,18.3,18,18.1,168486
10/31/2014,18.2,18.5,18.1,18.5,141449
11/3/2014,18.4,18.7,18.4,18.6,206487
11/4/2014,18.6,18.8,18.5,18.8,182626
11/5/2014,18.8,18.8,18.5,18.6,127477
11/6/2014,18.7,18.8,18.6,18.7,154012
11/7/2014,18.7,18.7,18.3,18.3,96550
11/10/2014,18.3,18.4,18.2,18.4,64515
11/11/2014,18.4,18.5,18.2,18.3,77914
11/12/2014,18.3,18.4,18.2,18.3,61968
11/13/2014,18.3,18.4,18.2,18.4,59586
11/14/2014,18.4,18.4,18.2,18.2,94831
11/17/2014,18.3,18.4,18.2,18.3,85752
11/18/2014,18.2,18.3,18.1,18.2,202887
11/19/2014,18.2,18.2,18,18.1,122609
11/20/2014,18.2,18.2,18,18,96687
11/21/2014,18,18.1,17.9,18,112982
11/24/2014,18.1,18.3,18,18.3,141099
11/25/2014,18.3,18.5,18.3,18.5,425977
11/26/2014,18.5,18.7,18.4,18.4,293938
11/27/2014,18.5,18.7,18.4,18.7,171429
11/28/2014,18.7,18.7,18.4,18.5,169309
12/1/2014,18.5,18.7,18.4,18.7,146516
12/2/2014,18.7,18.7,18.5,18.6,95227
12/3/2014,18.5,18.6,18.5,18.6,80760
12/4/2014,18.5,18.6,18.3,18.3,184406
12/8/2014,18.3,18.5,18.2,18.3,202807
12/9/2014,18.3,18.4,18.2,18.2,138579
12/11/2014,18.2,18.3,17.8,18,336231
12/12/2014,18,18.1,17.8,17.9,147738
12/15/2014,17.6,17.8,15.3,17.8,531675
12/16/2014,17.1,17.8,17.1,17.6,288540
12/17/2014,17.7,18,17.5,17.9,282262
12/18/2014,18.1,18.1,17.7,18,294082
12/19/2014,18,18,17.7,17.8,114368
12/22/2014,17.9,17.9,17.5,17.8,164832
12/23/2014,17.7,17.8,17.6,17.7,117880
12/24/2014,17.7,17.7,17.4,17.4,144606
12/25/2014,17.4,17.5,17.2,17.4,72420
12/26/2014,17.4,17.8,17.3,17.6,98221
12/29/2014,17.6,17.7,17.4,17.5,70616
12/30/2014,17.5,17.6,17.2,17.2,130358
1/5/2015,17.3,18,17.2,18,419695
1/6/2015,17.8,17.9,17.7,17.8,242688
1/7/2015,17.8,18,17.8,17.9,195939
1/8/2015,18,18.6,17.9,18.6,772787
1/9/2015,18.5,18.5,18.2,18.3,148803
1/12/2015,18.4,18.7,18.3,18.3,180304
1/13/2015,18.3,18.8,18.2,18.7,432625
1/14/2015,18.7,18.7,18.3,18.4,268652
1/15/2015,18.6,18.7,18.3,18.5,296281
1/16/2015,18.5,18.8,18.5,18.7,470689
1/19/2015,18.8,18.9,18.6,18.9,328594
1/20/2015,18.9,19,18.5,18.5,254795
1/21/2015,18.6,18.7,18.4,18.4,100334
1/22/2015,18.5,18.6,18.3,18.4,297564
1/23/2015,18.5,18.8,18.5,18.7,223993
1/26/2015,18.6,18.9,18.5,18.7,220489
1/27/2015,18.7,18.9,18.6,18.9,214751
1/28/2015,18.9,19,18.7,18.9,222492
1/29/2015,18.8,18.9,18.7,18.9,121719
1/30/2015,18.9,18.9,18.6,18.6,114563
2/2/2015,18.6,18.6,18.4,18.6,99209
2/3/2015,18.8,18.8,18.6,18.7,135096
2/4/2015,18.8,19.2,18.6,19.1,399729
2/5/2015,19.2,19.8,19.1,19.6,902164
2/6/2015,19.7,20.2,19.7,20.2,947625
2/9/2015,20.3,20.9,20.2,20.6,462889
2/10/2015,20.6,20.8,20.4,20.5,350580
2/11/2015,20.5,20.7,20.4,20.4,267951
2/12/2015,20.5,20.9,20.5,20.9,260400
2/13/2015,20.9,20.9,20.4,20.6,293254
2/16/2015,20.6,20.7,20.3,20.3,133341
2/17/2015,20.2,20.4,20.1,20.2,192226
2/18/2015,20.3,20.8,20.2,20.8,120050
2/19/2015,20.9,20.9,20.5,20.6,102351
2/20/2015,20.8,21.3,20.6,21.1,548337
2/23/2015,21.1,21.3,21,21.3,154813
2/24/2015,21.2,21.4,21.1,21.1,156754
2/25/2015,21.2,21.6,20.9,20.9,439471
2/26/2015,20.9,21.3,20.5,21.3,347262
2/27/2015,21.3,21.5,20.9,21.5,184399
3/2/2015,21.7,21.7,21.3,21.4,152787
3/3/2015,21.4,21.5,21,21.1,215376
3/5/2015,21.2,21.2,20.7,20.8,393575
3/6/2015,20.7,21.4,20.7,21.4,233802
3/9/2015,21,21.2,20.9,20.9,123028
3/10/2015,21,21.2,20.5,20.5,213920
3/11/2015,20.5,20.8,20.4,20.7,187590
3/12/2015,20.8,20.8,20.4,20.5,143460
3/13/2015,20.5,20.6,20.3,20.5,156464
3/16/2015,20.3,20.4,20.1,20.1,151171
3/17/2015,20.3,20.4,20.2,20.3,244899
3/18/2015,20.4,21,20.3,20.9,359722
3/19/2015,21,21,20.7,20.8,109062
3/20/2015,20.8,20.9,20.5,20.9,134330
3/23/2015,20.9,20.9,20.3,20.3,108635
3/24/2015,20.2,20.6,20.1,20.4,185296
3/25/2015,20.5,20.6,20.3,20.5,84736
3/26/2015,20.4,20.5,20.2,20.2,93747
